sku,field,ua_or_diff,ru_or_bad,url
2135568309,descr_full,p: UA=1/RU=2,len(UA)=404 len(RU)=404,https://labresta.com.ua/plyta-hazova-apach-aprg-77p/
503960072,descr_full,br: UA=0/RU=1,len(UA)=380 len(RU)=375,https://labresta.com.ua/plyta-hazova-pimak-m018-pod-balon-400kh500kh500-mm/
1423206708,descr_full,p: UA=9/RU=10; strong: UA=1/RU=0,len(UA)=332 len(RU)=336,https://labresta.com.ua/plyta-hazova-pimak-70s-m015-4f-z-dukhovkoiu/
2180716716,descr_full,p: UA=3/RU=4,len(UA)=796 len(RU)=842,https://labresta.com.ua/plyta-hazova-pimak-70mx-4s-haz-kontrol/
2073616334,descr_full,style: UA=0/RU=1,len(UA)=293 len(RU)=304,https://labresta.com.ua/plyta-elektrychna-efes-epk-2sh-10.2-kvt/
2073639811,descr_full,style: UA=0/RU=2,len(UA)=264 len(RU)=275,https://labresta.com.ua/plyta-elektrychna-efes-epk-3sh-13.8-kvt/
2073651788,descr_full,style: UA=0/RU=3,len(UA)=249 len(RU)=259,https://labresta.com.ua/plyta-elektrychna-efes-epk-4msh-16.2-kvt/
2073655694,descr_full,style: UA=0/RU=4,len(UA)=248 len(RU)=258,https://labresta.com.ua/plyta-elektrychna-efes-epk-4sh-16.8-kvt/
2073659196,descr_full,style: UA=0/RU=5,len(UA)=248 len(RU)=258,https://labresta.com.ua/plyta-elektrychna-efes-epk-6sh-22.8-kvt/
1423210769,descr_full,li: UA=0/RU=5; p: UA=8/RU=4; ul: UA=0/RU=1,len(UA)=330 len(RU)=334,https://labresta.com.ua/plyta-hazova-pimak-70s-m015-4f-z-dukhovkoiu-haz.kontr./
2180743039,descr_full,font: UA=4/RU=0,len(UA)=784 len(RU)=813,https://labresta.com.ua/plyta-hazova-pimak-m015-4-z-dukh.-shafoiu-haz-kontr-konf.-4040/
2180848772,descr_full,br: UA=1/RU=0; p: UA=3/RU=4,len(UA)=572 len(RU)=610,https://labresta.com.ua/plyta-hazova-pimak-m015-6-z-haz-kontrolem-15001000/
2438016240,descr_full,strong: UA=1/RU=0,len(UA)=531 len(RU)=548,https://labresta.com.ua/plyta-induktsiina-ata-wok-k7ewk05tt/
2438031259,descr_full,br: UA=1/RU=0,len(UA)=590 len(RU)=530,https://labresta.com.ua/plyta-hazova-ata-c2gcu05vv/
2438042239,descr_full,br: UA=3/RU=1,len(UA)=626 len(RU)=647,https://labresta.com.ua/plyta-hazova-ata-c2gcu10vv/
2440565183,descr_full,p: UA=4/RU=5,len(UA)=408 len(RU)=417,https://labresta.com.ua/plyta-hazova-keramichna-ata-k7gtp10tt/
2440587137,descr_full,br: UA=2/RU=1; p: UA=3/RU=4,len(UA)=533 len(RU)=540,https://labresta.com.ua/plyta-elektrychna-ata-k4ecup05tt/
2440594489,descr_full,p: UA=7/RU=6,len(UA)=711 len(RU)=726,https://labresta.com.ua/plyta-elektrychna-ata-k4ecup10ff/
2441228083,descr_full,br: UA=6/RU=1; li: UA=7/RU=13; p: UA=7/RU=6,len(UA)=783 len(RU)=800,https://labresta.com.ua/plyta-elektrychna-ata-k7ecu10fvq/
2237501770,descr_full,strong: UA=1/RU=0,len(UA)=537 len(RU)=560,https://labresta.com.ua/poverkhnia-dlia-smazhennia-silver-2150-elektrychna/
2237505627,descr_full,strong: UA=1/RU=0,len(UA)=560 len(RU)=589,https://labresta.com.ua/poverkhnia-dlia-smazhennia-silver-2151-elektrychna/
2237514863,descr_full,strong: UA=1/RU=0,len(UA)=404 len(RU)=424,https://labresta.com.ua/poverkhnia-dlia-smazhennia-silver-2605-hazova/
2591341231,descr_full,br: UA=10/RU=0; li: UA=9/RU=19,len(UA)=754 len(RU)=775,https://labresta.com.ua/poverkhnia-dlia-smazhennia-hazova-ata-k4gfbp10ttr/
2591347841,descr_full,br: UA=0/RU=1; li: UA=21/RU=20,len(UA)=785 len(RU)=831,https://labresta.com.ua/poverkhnia-dlia-smazhennia-hazova-ata-k4gfbp10vvl/
2591360361,descr_full,li: UA=20/RU=19,len(UA)=705 len(RU)=686,https://labresta.com.ua/poverkhnia-dlia-smazhennia-hazova-ata-k4gfls05tt/
2593000866,descr_full,br: UA=0/RU=1; li: UA=20/RU=19,len(UA)=710 len(RU)=729,https://labresta.com.ua/poverkhnia-dlia-smazhennia-hazova-ata-k4gfrs05tt/
2593026129,descr_full,li: UA=22/RU=21,len(UA)=714 len(RU)=693,https://labresta.com.ua/poverkhnia-dlia-smazhennia-hazova-ata-k6gfl05tt/
2593035072,descr_full,li: UA=22/RU=21,len(UA)=718 len(RU)=697,https://labresta.com.ua/poverkhnia-dlia-smazhennia-hazova-ata-k6gfr05tt/
2593134661,descr_full,br: UA=0/RU=1; li: UA=22/RU=21,len(UA)=841 len(RU)=865,https://labresta.com.ua/poverkhnia-dlia-smazhennia-elektrychna-ata-c2efr10tt/
1489881212,descr_full,p: UA=1/RU=0,len(UA)=357 len(RU)=369,https://labresta.com.ua/frytiurnytsia-hazova-silver-2703-55-l/
2182869210,descr_full,br: UA=1/RU=0; p: UA=4/RU=5,len(UA)=517 len(RU)=537,https://labresta.com.ua/frytiurnytsia-elektrychna-saro-profri-88-v/
2182890630,descr_full,p: UA=0/RU=1,len(UA)=536 len(RU)=537,https://labresta.com.ua/frytiurnytsia-goodfood-ef12a2/
2183052378,descr_full,br: UA=1/RU=0; p: UA=5/RU=6,len(UA)=789 len(RU)=813,https://labresta.com.ua/frytiurnytsia-elektrychna-ozti-ofei-4070/
2183057949,descr_full,br: UA=1/RU=0; p: UA=5/RU=6,len(UA)=768 len(RU)=791,https://labresta.com.ua/frytiurnytsia-elektrychna-ozti-ofei-8070/
2183058865,descr_full,br: UA=2/RU=0; p: UA=4/RU=6,len(UA)=632 len(RU)=659,https://labresta.com.ua/frytiurnytsia-elektrychna-ozti-ofei-4090/
2183065565,descr_full,br: UA=2/RU=0; p: UA=4/RU=6,len(UA)=631 len(RU)=658,https://labresta.com.ua/frytiurnytsia-elektrychna-ozti-ofei-8090/
2183069030,descr_full,br: UA=1/RU=0; p: UA=4/RU=5,len(UA)=554 len(RU)=574,https://labresta.com.ua/frytiurnytsia-hazova-ozti-ofgi-4070/
2183076465,descr_full,br: UA=1/RU=0; p: UA=4/RU=5,len(UA)=651 len(RU)=676,https://labresta.com.ua/frytiurnytsia-hazova-ozti-ofgi-8070/
2588255436,descr_full,br: UA=11/RU=0; li: UA=8/RU=19,len(UA)=645 len(RU)=635,https://labresta.com.ua/frytiurnytsia-elektrychna-ata-k7efe0507/
2590906543,descr_full,br: UA=1/RU=0; li: UA=18/RU=19,len(UA)=635 len(RU)=648,https://labresta.com.ua/frytiurnytsia-elektrychna-ata-k7efe0515/
961342346,descr_full,p: UA=0/RU=1,len(UA)=703 len(RU)=713,https://labresta.com.ua/mikrokhvylova-pich-beko-pro25ix-bp-bez-tarilky/
497698742,descr_full,style: UA=0/RU=1,len(UA)=351 len(RU)=355,https://labresta.com.ua/pekarskyi-shafa-efes-shpe-1/
2075019191,descr_full,li: UA=9/RU=8,len(UA)=439 len(RU)=389,https://labresta.com.ua/stil-teplovyi-d-efes-6001100-mm/
2075038014,descr_full,li: UA=9/RU=8,len(UA)=439 len(RU)=389,https://labresta.com.ua/stil-teplovyi-d-efes-6001200-mm/
2074997451,descr_full,li: UA=8/RU=9,len(UA)=432 len(RU)=444,https://labresta.com.ua/skovoroda-efes-seem-0.5-01-74-l/
1141023861,descr_full,h2: UA=0/RU=1,len(UA)=1345 len(RU)=1365,https://labresta.com.ua/kotel-efes-ke-100-parovodnyi/
1141032740,descr_full,h2: UA=0/RU=1; p: UA=3/RU=2,len(UA)=1345 len(RU)=1366,https://labresta.com.ua/kotelefes-ke-160-parovodianyi/
1141036471,descr_full,h2: UA=0/RU=1; p: UA=3/RU=2,len(UA)=1345 len(RU)=1366,https://labresta.com.ua/kotelefes-ke-250-parovodianyi/
2511710157,descr_full,br: UA=2/RU=1; li: UA=8/RU=9,len(UA)=1647 len(RU)=1678,https://labresta.com.ua/termoprotsesor-sirman-softcooker-maxi-70/
908906059,descr_full,h2: UA=1/RU=0; p: UA=7/RU=8; strong: UA=0/RU=2,len(UA)=2342 len(RU)=2413,https://labresta.com.ua/pich-alto-shaam-1750-sk-sx-sd-nyzkotemperaturna/
1777550136,descr_full,h2: UA=1/RU=0; p: UA=8/RU=9; strong: UA=0/RU=2,len(UA)=2471 len(RU)=2551,https://labresta.com.ua/pichalto-shaam-1750-sk-dx-sd-nyzkotemperaturna/
2098339490,descr_full,font: UA=0/RU=6; p: UA=7/RU=9,len(UA)=2132 len(RU)=2199,https://labresta.com.ua/pich-nyzkotemperaturna-moduline-chs082-iz-koptylneiu/
2098369196,descr_full,font: UA=0/RU=6; p: UA=7/RU=9,len(UA)=2128 len(RU)=2195,https://labresta.com.ua/pich-nyzkotemperaturna-moduline-chs052e-iz-koptylneiu/
518661593,descr_full,h2: UA=0/RU=1,len(UA)=248 len(RU)=282,https://labresta.com.ua/rysovarka-54-l-hendi-240403/
2269474683,descr_full,li: UA=19/RU=18,len(UA)=801 len(RU)=797,https://labresta.com.ua/dehidrator-frosty-ffd-32h/
527283030,descr_full,h4: UA=1/RU=0; li: UA=8/RU=7; p: UA=9/RU=10,len(UA)=1551 len(RU)=1586,https://labresta.com.ua/pich-konvektsiina-apach-ad46d/
626891780,descr_full,strong: UA=2/RU=1,len(UA)=1286 len(RU)=1339,https://labresta.com.ua/pich-podova-frosty-nes-36/
2037438774,descr_full,p: UA=3/RU=4,len(UA)=691 len(RU)=787,https://labresta.com.ua/pich-podova-frosty-hgb-20d/
2176574295,descr_full,h4: UA=1/RU=0; p: UA=8/RU=9,len(UA)=1723 len(RU)=1793,https://labresta.com.ua/parokonvektomat-tatra-tpi-07d.5v/
