sku,field,ua_or_diff,ru_or_bad,url
885013014,mod_name,Плита електрична Bartscher 105325 (380В) настільна,Плита електрична Bartscher 105325 (380В) настільна,https://labresta.com.ua/plyta-elektrychna-bartscher-105325-380v-nastilna/
885013014,descr_full,"Плита електрична настільна одноконфоркова професійна. Технічні характеристики: Температура: до +350 °C Конфорка: Ø 400 мм. Вага: 34,2 кг. Напруга: 380 В Потужність: 5,0 кВт Габарити 370х590х515 мм","Плита електрична настільна одноконфоркова професійна. Технічні характеристики: Температура: до +350 °C Конфорка: Ø 400 мм. Вага: 34,2 кг. Напруга: 380 В Потужність: 5,0 кВт Габарити 370х590х515 мм",https://labresta.com.ua/plyta-elektrychna-bartscher-105325-380v-nastilna/
2061563091,descr_full,"Електрична плита із суцільною поверхнею, настільна. Водонепроникна стільниця 1,5 мм, виготовлена з нержавіючої сталі. Конфорки, що швидко нагрівають із запобіжним пристроєм запобігання перегріву. Техн","Електрична плита із суцільною поверхнею, настільна. Водонепроникна стільниця 1,5 мм, виготовлена з нержавіючої сталі. Конфорки, що швидко нагрівають із запобіжним пристроєм запобігання перегріву. Техн",https://labresta.com.ua/plyta-apach-apres-77t/
2065657026,descr_full,"Плита електрична 4-х конфоркова настільна. Водонепроникна стільниця 1,5 мм, виготовлена з нержавіючої сталі. Конфорки, що швидко нагрівають із запобіжним пристроєм запобігання перегріву. Технічні хара","Плита електрична 4-х конфоркова настільна. Водонепроникна стільниця 1,5 мм, виготовлена з нержавіючої сталі. Конфорки, що швидко нагрівають із запобіжним пристроєм запобігання перегріву. Технічні хара",https://labresta.com.ua/plyta-apach-apre-77t/
2463604901,mod_name,Плита індукційна Bartscher 105765,Плита індукційна Bartscher 105765,https://labresta.com.ua/plyta-induktsiina-bartscher-105765/
2463604901,descr_full,"Індукційні плити ідеально підходять для кухні обмеженої площі. Технічні характеристики: На закритій базі. 4 конфорки діаметром 260 мм зі скла. Розподіл конфорок: 2 x 5 кВт, 2 x 3,5 кВт. Корпус із нерж","Індукційні плити ідеально підходять для кухні обмеженої площі. Технічні характеристики: На закритій базі. 4 конфорки діаметром 260 мм зі скла. Розподіл конфорок: 2 x 5 кВт, 2 x 3,5 кВт. Корпус із нерж",https://labresta.com.ua/plyta-induktsiina-bartscher-105765/
1495708042,mod_name,Плита індукційна AIRHOT IP3500 T,Плита індукційна AIRHOT IP3500 T,https://labresta.com.ua/plyta-induktsiina-airhot-ip3500-t/
1495708042,descr_full,"Плита індукційна AIRHOT IP3500 T призначена для професійного використання. Тепло передається безпосередньо до дна посуду, не нагріваючи конфорку, завдяки чому плита витрачає менше енергії. Електронний","Плита індукційна AIRHOT IP3500 T призначена для професійного використання. Тепло передається безпосередньо до дна посуду, не нагріваючи конфорку, завдяки чому плита витрачає менше енергії. Електронний",https://labresta.com.ua/plyta-induktsiina-airhot-ip3500-t/
1907758512,mod_name,"Плита індукційна INDOKOR IN7000 D (2х3,5 кВт)","Плита індукційна INDOKOR IN7000 D (2х3,5 кВт)",https://labresta.com.ua/plyta-induktsiina-indokor-in7000-d-2kh35-kvt/
1907758512,descr_full,"Плита індукційна на 2 конфорки INDOKOR IN7000 D зі склокерамічною поверхнею. Індукційна плита - кухонна електрична плита, що розігріває металевий посуд індукованими вихровими струмами, що створюються ","Плита індукційна на 2 конфорки INDOKOR IN7000 D зі склокерамічною поверхнею. Індукційна плита - кухонна електрична плита, що розігріває металевий посуд індукованими вихровими струмами, що створюються ",https://labresta.com.ua/plyta-induktsiina-indokor-in7000-d-2kh35-kvt/
1907769933,mod_name,Плита індукційна INDOKOR IN3500 WOK,Плита індукційна INDOKOR IN3500 WOK,https://labresta.com.ua/plyta-induktsiina-indokor-in3500-wok/
1907769933,descr_full,"Плита індукційна WOK INDOKOR IN3500 із склокерамічною поверхнею. Індукційна плита - кухонна електрична плита, що розігріває металевий посуд індукованими вихровими струмами, що створюються високочастот","Плита індукційна WOK INDOKOR IN3500 із склокерамічною поверхнею. Індукційна плита - кухонна електрична плита, що розігріває металевий посуд індукованими вихровими струмами, що створюються високочастот",https://labresta.com.ua/plyta-induktsiina-indokor-in3500-wok/
1907792532,mod_name,Плита індукційна INDOKOR IN5000S WOK,Плита індукційна INDOKOR IN5000S WOK,https://labresta.com.ua/plyta-induktsiina-indokor-in5000s-wok/
1907792532,descr_full,"Плита індукційна WOK INDOKOR IN5000S із склокерамічною поверхнею. Індукційна плита - кухонна електрична плита, що розігріває металевий посуд індукованими вихровими струмами, що створюються високочасто","Плита індукційна WOK INDOKOR IN5000S із склокерамічною поверхнею. Індукційна плита - кухонна електрична плита, що розігріває металевий посуд індукованими вихровими струмами, що створюються високочасто",https://labresta.com.ua/plyta-induktsiina-indokor-in5000s-wok/
475227571,mod_name,Плита газова Kogast PST47/P,Плита газова Kogast PST47/P,https://labresta.com.ua/plyta-hazova-kogast-pst47-p/
475227571,descr_full,"Технічні характеристики: 4 конфорки на вікдритій базі решітки та пальники з чавуну механічне керування газова потужність 19,5 кВт (2х3,5 + 5,5 + 7) габарити 800х700х900 мм","Технічні характеристики: 4 конфорки на вікдритій базі решітки та пальники з чавуну механічне керування газова потужність 19,5 кВт (2х3,5 + 5,5 + 7) габарити 800х700х900 мм",https://labresta.com.ua/plyta-hazova-kogast-pst47-p/
477685566,mod_name,Плита індукційна AIRHOT IP 3500 настільна,Плита індукційна AIRHOT IP 3500 настільна,https://labresta.com.ua/plyta-induktsiina-airhot-ip-3500-nastilna/
477685566,descr_full,Плита індукційна AIRHOT призначена для професійного використання. Електронний таймер 3 години Регулювання потужності Діаметр посуду від 12 до 26 см. Макс. навантаження на поверхню: 25 кг Робоча поверх,Плита індукційна AIRHOT призначена для професійного використання. Електронний таймер 3 години Регулювання потужності Діаметр посуду від 12 до 26 см. Макс. навантаження на поверхню: 25 кг Робоча поверх,https://labresta.com.ua/plyta-induktsiina-airhot-ip-3500-nastilna/
520702072,mod_name,Плита індукційна REEDNEE AMCD108,Плита індукційна REEDNEE AMCD108,https://labresta.com.ua/plyta-induktsiina-reednee-amcd108/
520702072,descr_full,Плита індукційна REEDNEE AMCD108 на одну конфорку. Корпус виготовлений із неіржавкої сталі Поверхня — скло. Максимальне навантаження на скло 60 кг. Таймер. Електронний дисплей. Діапазон температури ві,Плита індукційна REEDNEE AMCD108 на одну конфорку. Корпус виготовлений із неіржавкої сталі Поверхня — скло. Максимальне навантаження на скло 60 кг. Таймер. Електронний дисплей. Діапазон температури ві,https://labresta.com.ua/plyta-induktsiina-reednee-amcd108/
520702291,mod_name,Плита індукційна REEDNEE AMCD204,Плита індукційна REEDNEE AMCD204,https://labresta.com.ua/plyta-induktsiina-reednee-amcd204/
520702291,descr_full,Плита індукційна REEDNEE AMCD204 на две конфорки. Корпус виготовлений із неіржавкої сталі Поверхня — скло. Максимальне навантаження на скло 60 кг. Таймер. Електронний дисплей. Діапазон температури від,Плита індукційна REEDNEE AMCD204 на две конфорки. Корпус виготовлений із неіржавкої сталі Поверхня — скло. Максимальне навантаження на скло 60 кг. Таймер. Електронний дисплей. Діапазон температури від,https://labresta.com.ua/plyta-induktsiina-reednee-amcd204/
595334908,mod_name,Плита індукційна Hendi 239209 Economic Model 1800,Плита індукційна Hendi 239209 Economic Model 1800,https://labresta.com.ua/plyta-induktsiina-hendi-239209-economic-model-1800/
